symbol,count,probability
тщ,21,0.0000282815
чс,21,0.0000282815
хш,21,0.0000282815
вф,21,0.0000282815
кц,20,0.0000269348
цг,19,0.0000255880
гм,19,0.0000255880
зш,19,0.0000255880
жм,18,0.0000242413
цс,18,0.0000242413
дэ,18,0.0000242413
нф,18,0.0000242413
кф,17,0.0000228945
лф,17,0.0000228945
кш,17,0.0000228945
жт,16,0.0000215478
жг,16,0.0000215478
жэ,16,0.0000215478
жп,16,0.0000215478
шм,16,0.0000215478
фп,16,0.0000215478
уц,16,0.0000215478
фт,16,0.0000215478
хх,16,0.0000215478
дф,16,0.0000215478
хф,15,0.0000202011
тш,15,0.0000202011
съ,14,0.0000188543
рэ,14,0.0000188543
въ,14,0.0000188543
жж,14,0.0000188543
жв,14,0.0000188543
гг,13,0.0000175076
фн,12,0.0000161609
чм,12,0.0000161609
пс,12,0.0000161609
эп,12,0.0000161609
цм,11,0.0000148141
бг,11,0.0000148141
цд,11,0.0000148141
бп,11,0.0000148141
фы,10,0.0000134674
цт,10,0.0000134674
ыф,10,0.0000134674
зц,10,0.0000134674
гэ,9,0.0000121206
гя,9,0.0000121206
цч,9,0.0000121206
дж,9,0.0000121206
пц,9,0.0000121206
чд,9,0.0000121206
цз,8,0.0000107739
эм,8,0.0000107739
бб,8,0.0000107739
жя,8,0.0000107739
шд,8,0.0000107739
эй,8,0.0000107739
ыщ,8,0.0000107739
мщ,8,0.0000107739
бт,8,0.0000107739
бц,8,0.0000107739
пш,8,0.0000107739
ыц,8,0.0000107739
фз,7,0.0000094272
цб,7,0.0000094272
чб,7,0.0000094272
шр,7,0.0000094272
ьщ,7,0.0000094272
кю,6,0.0000080804
хц,6,0.0000080804
чг,6,0.0000080804
чз,6,0.0000080804
фк,6,0.0000080804
чч,6,0.0000080804
жр,6,0.0000080804
зъ,5,0.0000067337
шб,5,0.0000067337
сё,5,0.0000067337
бш,5,0.0000067337
жл,5,0.0000067337
фм,5,0.0000067337
эв,5,0.0000067337
шс,5,0.0000067337
цр,5,0.0000067337
ця,4,0.0000053870
йю,4,0.0000053870
эг,4,0.0000053870
лц,4,0.0000053870
лщ,4,0.0000053870
цл,4,0.0000053870
зх,4,0.0000053870
хщ,4,0.0000053870
чх,4,0.0000053870
йщ,4,0.0000053870
вщ,4,0.0000053870
пщ,4,0.0000053870
гж,4,0.0000053870
эз,3,0.0000040402
бж,3,0.0000040402
чэ,3,0.0000040402
жх,3,0.0000040402
жз,3,0.0000040402
фь,3,0.0000040402
шг,3,0.0000040402
гф,3,0.0000040402
эх,3,0.0000040402
шш,3,0.0000040402
гш,3,0.0000040402
фг,3,0.0000040402
фф,3,0.0000040402
гх,3,0.0000040402
кщ,3,0.0000040402
бю,3,0.0000040402
зф,3,0.0000040402
фч,3,0.0000040402
пд,3,0.0000040402
що,3,0.0000040402
ёб,2,0.0000026935
пм,2,0.0000026935
нё,2,0.0000026935
пэ,2,0.0000026935
фб,2,0.0000026935
фя,2,0.0000026935
вю,2,0.0000026935
эд,2,0.0000026935
фш,2,0.0000026935
кь,2,0.0000026935
шц,2,0.0000026935
фд,2,0.0000026935
цэ,2,0.0000026935
шч,1,0.0000013467
шф,1,0.0000013467
лъ,1,0.0000013467
бз,1,0.0000013467
ръ,1,0.0000013467
ъв,1,0.0000013467
оь,1,0.0000013467
щр,1,0.0000013467
ъс,1,0.0000013467
ёр,1,0.0000013467
щз,1,0.0000013467
йй,1,0.0000013467
пг,1,0.0000013467
ыю,1,0.0000013467
эш,1,0.0000013467
эф,1,0.0000013467
щт,1,0.0000013467
эи,1,0.0000013467
сщ,1,0.0000013467
тй,1,0.0000013467
вй,1,0.0000013467
цф,1,0.0000013467
эб,1,0.0000013467
цш,1,0.0000013467
ьй,1,0.0000013467
фэ,1,0.0000013467
зщ,1,0.0000013467
шэ,1,0.0000013467
пж,1,0.0000013467
чя,1,0.0000013467
шз,1,0.0000013467
хю,1,0.0000013467
цж,1,0.0000013467
фю,1,0.0000013467
шж,1,0.0000013467
фж,1,0.0000013467
пх,1,0.0000013467
пб,1,0.0000013467
шх,1,0.0000013467
щп,1,0.0000013467
чф,1,0.0000013467
шя,1,0.0000013467
