symbol,count,probability
ап,1481,0.0008335927
ае,1480,0.0008330299
зь,1452,0.0008172698
ув,1450,0.0008161441
тс,1445,0.0008133298
аю,1433,0.0008065755
ои,1401,0.0007885641
аг,1370,0.0007711155
пи,1368,0.0007699898
бл,1368,0.0007699898
сн,1359,0.0007649240
уч,1359,0.0007649240
су,1353,0.0007615469
г␠,1353,0.0007615469
ай,1346,0.0007576069
ук,1335,0.0007514154
уш,1323,0.0007446612
яс,1318,0.0007418469
ву,1305,0.0007345297
би,1297,0.0007300268
ыс,1290,0.0007260868
␠ф,1289,0.0007255240
ач,1278,0.0007193325
мы,1269,0.0007142668
зв,1264,0.0007114525
пь,1258,0.0007080754
дл,1243,0.0006996325
уз,1238,0.0006968182
сс,1232,0.0006934411
ги,1226,0.0006900639
зд,1216,0.0006844353
щи,1199,0.0006748668
жд,1189,0.0006692382
ии,1187,0.0006681125
еш,1185,0.0006669867
гу,1170,0.0006585439
рн,1129,0.0006354667
ещ,1122,0.0006315267
пу,1121,0.0006309638
аб,1119,0.0006298381
пл,1117,0.0006287124
ур,1117,0.0006287124
оя,1109,0.0006242095
рт,1100,0.0006191438
яд,1099,0.0006185810
уп,1085,0.0006107009
чу,1082,0.0006090124
йс,1076,0.0006056352
лк,1071,0.0006028209
ян,1054,0.0005932523
ох,1024,0.0005763666
ир,1017,0.0005724266
ыт,1016,0.0005718637
вр,1013,0.0005701752
ца,1012,0.0005696123
ды,1010,0.0005684866
уб,975,0.0005487866
нс,969,0.0005454094
ою,964,0.0005425951
зо,945,0.0005319008
фи,929,0.0005228951
тя,919,0.0005172665
зы,911,0.0005127636
ге,905,0.0005093865
нт,879,0.0004947522
зя,874,0.0004919379
яж,863,0.0004857465
ыш,853,0.0004801179
иг,834,0.0004694236
чн,830,0.0004671722
нц,829,0.0004666093
юб,826,0.0004649207
вз,823,0.0004632321
аф,822,0.0004626693
шл,819,0.0004609807
мя,813,0.0004576036
ья,808,0.0004547893
ке,801,0.0004508493
бя,793,0.0004463464
ыб,771,0.0004339635
ющ,761,0.0004283349
шк,761,0.0004283349
ью,745,0.0004193292
кт,739,0.0004159521
ьш,735,0.0004137006
дь,733,0.0004125749
ют,722,0.0004063835
цу,722,0.0004063835
ея,712,0.0004007549
зг,706,0.0003973778
ео,705,0.0003968149
дя,700,0.0003940006
сч,699,0.0003934378
иб,694,0.0003906235
фр,676,0.0003804920
йн,675,0.0003799292
ям,667,0.0003754263
шн,662,0.0003726120
рд,655,0.0003686720
тк,646,0.0003636063
ух,632,0.0003557263
