symbol,count,probability
аю,1439,0.0009689779
уз,1435,0.0009662844
зв,1410,0.0009494502
рн,1391,0.0009366562
пи,1387,0.0009339627
уш,1378,0.0009279024
бл,1369,0.0009218421
ур,1366,0.0009198220
ай,1346,0.0009063546
зд,1344,0.0009050078
уб,1337,0.0009002943
би,1337,0.0009002943
ьо,1335,0.0008989475
вр,1328,0.0008942339
лв,1317,0.0008868269
еш,1315,0.0008854801
ги,1314,0.0008848068
ыт,1307,0.0008800932
ох,1295,0.0008720128
йп,1288,0.0008672992
дл,1271,0.0008558519
ын,1271,0.0008558519
мы,1269,0.0008545052
яо,1266,0.0008524851
пь,1258,0.0008470981
гу,1220,0.0008215101
жд,1206,0.0008120829
мв,1201,0.0008087161
щи,1201,0.0008087161
рт,1185,0.0007979422
нт,1173,0.0007898618
йк,1169,0.0007871683
йд,1166,0.0007851482
ыб,1164,0.0007838014
вк,1161,0.0007817813
кт,1156,0.0007784145
ям,1136,0.0007649471
ещ,1135,0.0007642737
пу,1121,0.0007548466
пл,1118,0.0007528265
вт,1096,0.0007380123
чу,1096,0.0007380123
уи,1095,0.0007373390
йв,1089,0.0007332988
кв,1081,0.0007279118
тк,1069,0.0007198314
зо,1064,0.0007164645
яж,1046,0.0007043439
оу,1035,0.0006969368
лд,1033,0.0006955901
йи,1028,0.0006922233
тя,1024,0.0006895298
вз,1024,0.0006895298
ца,1021,0.0006875097
лч,1021,0.0006875097
ды,1010,0.0006801026
ьм,1006,0.0006774091
юб,992,0.0006679820
вд,990,0.0006666352
мк,977,0.0006578814
фи,975,0.0006565347
ою,973,0.0006551880
ьа,970,0.0006531679
нп,966,0.0006504744
ья,959,0.0006457608
аф,947,0.0006376804
кс,942,0.0006343135
ке,936,0.0006302733
мя,931,0.0006269065
еу,931,0.0006269065
ге,930,0.0006262331
ея,927,0.0006242130
ют,915,0.0006161326
ып,912,0.0006141125
зы,911,0.0006134391
иу,896,0.0006033386
йт,895,0.0006026652
ыш,886,0.0005966049
зя,882,0.0005939114
чн,873,0.0005878511
ьб,849,0.0005716902
нв,849,0.0005716902
иш,847,0.0005703435
йо,842,0.0005669766
нц,841,0.0005663033
ьт,830,0.0005588962
иж,827,0.0005568761
шл,821,0.0005528359
ау,818,0.0005508158
юд,810,0.0005454288
бя,807,0.0005434087
кб,806,0.0005427354
сд,801,0.0005393685
яг,799,0.0005380218
ьш,796,0.0005360017
хи,795,0.0005353283
яч,785,0.0005285946
тп,782,0.0005265745
зг,777,0.0005232077
яб,775,0.0005218609
шк,772,0.0005198408
сч,770,0.0005184941
ющ,766,0.0005158006
оф,758,0.0005104137
ьч,754,0.0005077202
ью,747,0.0005030066
кл,747,0.0005030066
ык,744,0.0005009865
дс,742,0.0004996397
цу,734,0.0004942528
дь,733,0.0004935794
рд,729,0.0004908860
мч,729,0.0004908860
уо,724,0.0004875191
ух,723,0.0004868457
ыи,722,0.0004861724
нк,718,0.0004834789
дя,712,0.0004794387
хс,705,0.0004747251
рв,704,0.0004740517
фр,693,0.0004666447
лж,688,0.0004632778
ьд,687,0.0004626045
хв,683,0.0004599110
рс,681,0.0004585642
яе,680,0.0004578909
шн,679,0.0004572175
юс,665,0.0004477903
йм,658,0.0004430768
ыр,653,0.0004397099
хп,651,0.0004383632
тд,635,0.0004275893
рж,634,0.0004269159
оэ,632,0.0004255692
ьз,629,0.0004235491
тч,628,0.0004228757
зи,624,0.0004201822
йб,623,0.0004195088
хн,622,0.0004188355
кк,621,0.0004181621
мд,621,0.0004181621
тл,620,0.0004174887
рк,610,0.0004107550
вм,604,0.0004067148
кп,604,0.0004067148
сы,602,0.0004053681
мб,601,0.0004046947
вв,594,0.0003999811
лг,588,0.0003959409
нб,588,0.0003959409
цо,582,0.0003919007
ща,578,0.0003892072
пя,575,0.0003871871
лт,575,0.0003871871
ср,573,0.0003858404
йр,567,0.0003818002
тт,561,0.0003777600
шу,558,0.0003757399
ею,558,0.0003757399
зе,554,0.0003730464
вг,553,0.0003723730
дт,553,0.0003723730
гн,552,0.0003716997
нч,548,0.0003690062
рг,545,0.0003669861
ец,542,0.0003649660
ию,541,0.0003642926
шо,540,0.0003636192
вэ,537,0.0003615991
йг,530,0.0003568855
яа,529,0.0003562122
бн,528,0.0003555388
мг,526,0.0003541921
дк,524,0.0003528453
иа,521,0.0003508252
аэ,520,0.0003501518
лб,520,0.0003501518
зм,519,0.0003494785
ыо,517,0.0003481317
ыд,512,0.0003447649
юи,511,0.0003440915
юн,506,0.0003407247
еэ,503,0.0003387046
шь,502,0.0003380312
аа,492,0.0003312975
йч,491,0.0003306241
зу,488,0.0003286040
уе,487,0.0003279307
ыч,483,0.0003252372
зс,481,0.0003238905
чк,477,0.0003211970
ьг,473,0.0003185035
мт,471,0.0003171568
юп,469,0.0003158100
нг,454,0.0003057095
юв,448,0.0003016693
юк,433,0.0002915687
рм,432,0.0002908954
яр,431,0.0002902220
зк,430,0.0002895486
тб,428,0.0002882019
яя,420,0.0002828150
ци,415,0.0002794481
бк,414,0.0002787747
кд,411,0.0002767546
мм,406,0.0002733878
рш,400,0.0002693476
рп,397,0.0002673275
мл,396,0.0002666541
иэ,395,0.0002659807
зр,395,0.0002659807
яу,394,0.0002653074
йл,394,0.0002653074
вб,391,0.0002632873
ях,390,0.0002626139
ущ,389,0.0002619405
зл,387,0.0002605938
пы,386,0.0002599204
вя,386,0.0002599204
йу,383,0.0002579003
лр,383,0.0002579003
мр,382,0.0002572269
юо,370,0.0002491465
ащ,369,0.0002484731
ящ,368,0.0002477998
хл,361,0.0002430862
ыг,358,0.0002410661
хк,358,0.0002410661
ху,355,0.0002390460
оа,354,0.0002383726
чь,353,0.0002376992
уа,353,0.0002376992
рб,350,0.0002356791
ьу,347,0.0002336590
кж,344,0.0002316389
тм,341,0.0002296188
вч,336,0.0002262520
ыз,334,0.0002249052
юч,333,0.0002242319
дъ,331,0.0002228851
хр,325,0.0002188449
ьр,323,0.0002174982
ьэ,322,0.0002168248
км,322,0.0002168248
еа,321,0.0002161514
дп,320,0.0002154781
нр,317,0.0002134580
зп,313,0.0002107645
бщ,309,0.0002080710
зб,305,0.0002053775
сб,303,0.0002040308
йз,299,0.0002013373
сх,298,0.0002006639
жу,295,0.0001986438
нз,292,0.0001966237
ъе,292,0.0001966237
хм,291,0.0001959504
лл,291,0.0001959504
цк,285,0.0001919101
юр,284,0.0001912368
йш,283,0.0001905634
хд,281,0.0001892167
мз,281,0.0001892167
лз,280,0.0001885433
фа,277,0.0001865232
дц,269,0.0001811362
кч,268,0.0001804629
ню,267,0.0001797895
фе,265,0.0001784428
рю,262,0.0001764227
ьл,261,0.0001757493
гс,260,0.0001750759
вь,259,0.0001744026
йж,257,0.0001730558
зж,256,0.0001723824
яэ,255,0.0001717091
юм,254,0.0001710357
уя,249,0.0001676689
ощ,249,0.0001676689
кг,248,0.0001669955
лм,243,0.0001636287
йа,242,0.0001629553
тц,236,0.0001589151
цы,226,0.0001521814
тг,225,0.0001515080
хб,224,0.0001508346
юа,222,0.0001494879
ац,220,0.0001481412
нщ,220,0.0001481412
чш,218,0.0001467944
шт,218,0.0001467944
юш,217,0.0001461211
рх,216,0.0001454477
оц,215,0.0001447743
хт,212,0.0001427542
ищ,211,0.0001420808
дш,209,0.0001407341
сю,208,0.0001400607
гк,206,0.0001387140
иф,205,0.0001380406
хг,204,0.0001373673
йе,203,0.0001366939
юл,203,0.0001366939
сг,202,0.0001360205
гв,202,0.0001360205
мж,200,0.0001346738
дм,199,0.0001340004
рч,198,0.0001333270
уу,194,0.0001306336
ъю,194,0.0001306336
яю,191,0.0001286135
тэ,191,0.0001286135
юг,189,0.0001272667
зю,187,0.0001259200
сш,185,0.0001245733
бъ,178,0.0001198597
лэ,176,0.0001185129
тз,175,0.0001178396
уэ,175,0.0001178396
бс,174,0.0001171662
жк,171,0.0001151461
ыу,170,0.0001144727
ьх,169,0.0001137993
сз,167,0.0001124526
ьц,166,0.0001117792
ъя,166,0.0001117792
фу,161,0.0001084124
кз,159,0.0001070657
хе,159,0.0001070657
нм,157,0.0001057189
чо,157,0.0001057189
гп,155,0.0001043722
юз,155,0.0001043722
зз,155,0.0001043722
эл,154,0.0001036988
сж,150,0.0001010053
ьж,149,0.0001003320
