symbol,count,probability
цн,11,0.0000123829
мф,10,0.0000112572
шм,10,0.0000112572
фы,10,0.0000112572
э␠,10,0.0000112572
жм,10,0.0000112572
еф,10,0.0000112572
яш,10,0.0000112572
сг,10,0.0000112572
юк,10,0.0000112572
чм,10,0.0000112572
яи,9,0.0000101314
кц,9,0.0000101314
бг,9,0.0000101314
жж,9,0.0000101314
цг,9,0.0000101314
нв,9,0.0000101314
нб,8,0.0000090057
уи,8,0.0000090057
дж,8,0.0000090057
ъ␠,8,0.0000090057
нф,8,0.0000090057
фс,8,0.0000090057
␠й,8,0.0000090057
кз,8,0.0000090057
юх,8,0.0000090057
ыц,7,0.0000078800
кд,7,0.0000078800
ыу,7,0.0000078800
мт,7,0.0000078800
тз,7,0.0000078800
фт,7,0.0000078800
пш,7,0.0000078800
нх,7,0.0000078800
эм,6,0.0000067543
эг,6,0.0000067543
ьв,6,0.0000067543
тг,6,0.0000067543
жл,6,0.0000067543
гм,6,0.0000067543
уф,6,0.0000067543
мш,6,0.0000067543
нп,6,0.0000067543
фь,6,0.0000067543
уц,6,0.0000067543
фф,5,0.0000056286
нл,5,0.0000056286
эй,5,0.0000056286
йо,5,0.0000056286
вщ,5,0.0000056286
тф,5,0.0000056286
пс,5,0.0000056286
фк,5,0.0000056286
мщ,5,0.0000056286
зц,5,0.0000056286
км,5,0.0000056286
мз,5,0.0000056286
йе,4,0.0000045029
бж,4,0.0000045029
юж,4,0.0000045029
кю,4,0.0000045029
ё␠,4,0.0000045029
тэ,4,0.0000045029
бю,4,0.0000045029
дф,4,0.0000045029
бц,4,0.0000045029
хш,4,0.0000045029
лш,4,0.0000045029
фю,4,0.0000045029
эз,3,0.0000033771
сё,3,0.0000033771
щ␠,3,0.0000033771
йб,3,0.0000033771
ьф,3,0.0000033771
лф,3,0.0000033771
бт,3,0.0000033771
оа,3,0.0000033771
ао,3,0.0000033771
шц,3,0.0000033771
ьщ,3,0.0000033771
лв,3,0.0000033771
кш,3,0.0000033771
хх,3,0.0000033771
эд,3,0.0000033771
аэ,2,0.0000022514
иу,2,0.0000022514
хъ,2,0.0000022514
